document_id,split,entity_internal_id,identifier,texto_entidade,tipo_entidade,novel_entity,offset,length,passage_offset,len_texto_ent,texto_entidade_norm
11054569,train,4,84084,Rab6c,GeneOrGeneProduct,,120,5,95,5,rab6c
11054569,train,5,9606,human,OrganismTaxon,,207,5,95,5,human
11054569,train,6,D001943,breast cancer,DiseaseOrPhenotypicFeature,,239,13,95,13,breast cancer
11054569,train,7, CVCL_1452,MCF7/AdrR,CellLine,,264,9,95,9,mcf7/adrr
11054569,train,8,84084,Rab6c,GeneOrGeneProduct,,361,5,95,5,rab6c
11054569,train,9, CVCL_1452,MCF7/AdrR,CellLine,,402,9,95,9,mcf7/adrr
11054569,train,10,CVCL_2598,MES-SA/Dx5,CellLine,,416,10,95,10,mes-sa/dx5
11054569,train,11,9606,human,OrganismTaxon,,430,5,95,5,human
11054569,train,12,D014594,uterine sarcoma,DiseaseOrPhenotypicFeature,,440,15,95,15,uterine sarcoma
11054569,train,13, CVCL_1452,MCF7/AdrR,CellLine,,516,9,95,9,mcf7/adrr
11054569,train,14,84084,Rab6c,GeneOrGeneProduct,,557,5,95,5,rab6c
11054569,train,15,D004317,doxorubicin,ChemicalEntity,,627,11,95,11,doxorubicin
11054569,train,16,D004317,DOX,ChemicalEntity,,640,3,95,3,dox
11054569,train,17,D017239,taxol,ChemicalEntity,,646,5,95,5,taxol
11054569,train,18,D014747,vinblastine,ChemicalEntity,,653,11,95,11,vinblastine
11054569,train,19,D014750,vincristine,ChemicalEntity,,670,11,95,11,vincristine
11054569,train,20,D004317,DOX,ChemicalEntity,,821,3,95,3,dox
11054569,train,21,84084,Rab6c,GeneOrGeneProduct,,892,5,95,5,rab6c
11054569,train,22,84084,Rab6c,GeneOrGeneProduct,,927,5,95,5,rab6c
11054569,train,23, CVCL_1452,MCF7/AdrR,CellLine,,967,9,95,9,mcf7/adrr
11773892,train,0,D007676,End-stage renal disease,DiseaseOrPhenotypicFeature,,0,23,0,23,end-stage renal disease
11773892,train,1,D007676,ESRD,DiseaseOrPhenotypicFeature,,25,4,0,4,esrd
11773892,train,2,5530,calcineurin,GeneOrGeneProduct,,83,11,0,11,calcineurin
11773892,train,3,5530,calcineurin,GeneOrGeneProduct,,167,11,151,11,calcineurin
11773892,train,4,D016572,cyclosporine,ChemicalEntity,,190,12,151,12,cyclosporine
11773892,train,5,D016559,tacrolimus,ChemicalEntity,,207,10,151,10,tacrolimus
11773892,train,6,D007674,nephrotoxic,DiseaseOrPhenotypicFeature,,239,11,151,11,nephrotoxic
11773892,train,7,9606,patients,OrganismTaxon,,392,8,151,8,patients
11773892,train,8,D007676,end-stage renal disease,DiseaseOrPhenotypicFeature,,436,23,151,23,end-stage renal disease
11773892,train,9,D007676,ESRD,DiseaseOrPhenotypicFeature,,461,4,151,4,esrd
11773892,train,10,D007676,ESRD,DiseaseOrPhenotypicFeature,,533,4,151,4,esrd
11773892,train,11,D007676,chronic renal failure,DiseaseOrPhenotypicFeature,,542,21,151,21,chronic renal failure
11773892,train,12,D007676,CRF,DiseaseOrPhenotypicFeature,,565,3,151,3,crf
11773892,train,13,9606,patients,OrganismTaxon,,578,8,151,8,patients
11773892,train,14,9606,Patients,OrganismTaxon,,597,8,151,8,patients
11773892,train,15,9606,Patients,OrganismTaxon,,797,8,151,8,patients
11773892,train,16,D007676,CRF,DiseaseOrPhenotypicFeature,,851,3,151,3,crf
11773892,train,17,D007676,ESRD,DiseaseOrPhenotypicFeature,,858,4,151,4,esrd
11773892,train,18,D007676,CRF,DiseaseOrPhenotypicFeature,,871,3,151,3,crf
11773892,train,19,D003404,creatinine,ChemicalEntity,,892,10,151,10,creatinine
11773892,train,20,D007676,ESRD,DiseaseOrPhenotypicFeature,,925,4,151,4,esrd
11773892,train,21,D007676,ESRD,DiseaseOrPhenotypicFeature,,1051,4,151,4,esrd
11773892,train,22,D007676,ESRD,DiseaseOrPhenotypicFeature,,1092,4,151,4,esrd
11773892,train,23,D007674,renal dysfunction,DiseaseOrPhenotypicFeature,,1155,17,151,17,renal dysfunction
11773892,train,24,D007676,CRF,DiseaseOrPhenotypicFeature,,1184,3,151,3,crf
11773892,train,25,D007676,ESRD,DiseaseOrPhenotypicFeature,,1197,4,151,4,esrd
11773892,train,26,9606,patients,OrganismTaxon,,1231,8,151,8,patients
11773892,train,27,D007676,CRF,DiseaseOrPhenotypicFeature,,1241,3,151,3,crf
11773892,train,28,D007676,ESRD,DiseaseOrPhenotypicFeature,,1249,4,151,4,esrd
11773892,train,29,9606,patients,OrganismTaxon,,1254,8,151,8,patients
11773892,train,30,D003404,creatinine,ChemicalEntity,,1293,10,151,10,creatinine
11773892,train,31,9606,patients,OrganismTaxon,,1336,8,151,8,patients
11773892,train,32,D006530,hepatorenal syndrome,DiseaseOrPhenotypicFeature,,1350,20,151,20,hepatorenal syndrome
11773892,train,33,D003404,creatinine,ChemicalEntity,,1480,10,151,10,creatinine
11773892,train,34,D003404,creatinine,ChemicalEntity,,1627,10,151,10,creatinine
11773892,train,35,D007676,CRF,DiseaseOrPhenotypicFeature,,1762,3,151,3,crf
11773892,train,36,D007676,ESRD,DiseaseOrPhenotypicFeature,,1769,4,151,4,esrd
11773892,train,37,9606,patients,OrganismTaxon,,1948,8,151,8,patients
11773892,train,38,D007676,ESRD,DiseaseOrPhenotypicFeature,,1965,4,151,4,esrd
11773892,train,39,9606,Patients,OrganismTaxon,,2027,8,151,8,patients
11773892,train,40,D007676,ESRD,DiseaseOrPhenotypicFeature,,2047,4,151,4,esrd
11773892,train,41,D007676,ESRD,DiseaseOrPhenotypicFeature,,2089,4,151,4,esrd
11773892,train,42,9606,patients,OrganismTaxon,,2109,8,151,8,patients
11773892,train,43,9606,patients,OrganismTaxon,,2162,8,151,8,patients
11773892,train,44,D007676,ESRD,DiseaseOrPhenotypicFeature,,2182,4,151,4,esrd
11773892,train,45,9606,Patients,OrganismTaxon,,2246,8,151,8,patients
11773892,train,46,D007676,CRF,DiseaseOrPhenotypicFeature,,2297,3,151,3,crf
11773892,train,47,D007676,ESRD,DiseaseOrPhenotypicFeature,,2305,4,151,4,esrd
11773892,train,48,D007676,ESRD,DiseaseOrPhenotypicFeature,,2345,4,151,4,esrd
11773892,train,49,9606,patients,OrganismTaxon,,2392,8,151,8,patients
11773892,train,50,9606,Patients,OrganismTaxon,,2429,8,151,8,patients
11773892,train,51,D007676,ESRD,DiseaseOrPhenotypicFeature,,2450,4,151,4,esrd
11773892,train,52,D003404,creatinine,ChemicalEntity,,2499,10,151,10,creatinine
11773892,train,53,D006530,hepatorenal syndrome,DiseaseOrPhenotypicFeature,,2538,20,151,20,hepatorenal syndrome
11773892,train,54,D003404,creatinine,ChemicalEntity,,2590,10,151,10,creatinine
11773892,train,55,D007676,CRF,DiseaseOrPhenotypicFeature,,2675,3,151,3,crf
11773892,train,56,D007676,ESRD,DiseaseOrPhenotypicFeature,,2682,4,151,4,esrd
12442272,train,0,rs80265967,D90A,SequenceVariant,,0,4,0,4,d90a
12442272,train,1,6647,SOD1,GeneOrGeneProduct,,5,4,0,4,sod1
12442272,train,2,D000690,amyotrophic lateral sclerosis,DiseaseOrPhenotypicFeature,,19,29,0,29,amyotrophic lateral sclerosis
12442272,train,3,6647,copper/zinc superoxide dismutase,GeneOrGeneProduct,,207,32,157,32,copper/zinc superoxide dismutase
12442272,train,4,6647,SOD1,GeneOrGeneProduct,,241,4,157,4,sod1
12442272,train,5,9606,patients,OrganismTaxon,,266,8,157,8,patients
12442272,train,6,D000690,amyotrophic lateral sclerosis,DiseaseOrPhenotypicFeature,,280,29,157,29,amyotrophic lateral sclerosis
12442272,train,7,D000690,ALS,DiseaseOrPhenotypicFeature,,311,3,157,3,als
12442272,train,8,D019636,neurodegenerative disease,DiseaseOrPhenotypicFeature,,325,25,157,25,neurodegenerative disease
12442272,train,9,rs80265967,D90A,SequenceVariant,,362,4,157,4,d90a
12442272,train,10,6647,SOD1,GeneOrGeneProduct,,367,4,157,4,sod1
12442272,train,11,rs80265967,D90A,SequenceVariant,,585,4,157,4,d90a
12442272,train,12,6647,SOD1,GeneOrGeneProduct,,590,4,157,4,sod1
12442272,train,13,D000690,ALS,DiseaseOrPhenotypicFeature,,659,3,157,3,als
12442272,train,14,D000690,ALS,DiseaseOrPhenotypicFeature,,777,3,157,3,als
12442272,train,15,rs80265967,D90A,SequenceVariant,,1041,4,157,4,d90a
12442272,train,16,6647,SOD1,GeneOrGeneProduct,,1346,4,157,4,sod1
12442272,train,17,rs80265967,D90A,SequenceVariant,,1459,4,157,4,d90a
12442272,train,18,6647,SOD1,GeneOrGeneProduct,,1464,4,157,4,sod1
12442272,train,19,D000690,ALS,DiseaseOrPhenotypicFeature,,1511,3,157,3,als
1353340,train,0,D007966,metachromatic leukodystrophy,DiseaseOrPhenotypicFeature,,11,28,0,28,metachromatic leukodystrophy
1353340,train,1,410,arylsulfatase A,GeneOrGeneProduct,,111,15,78,15,arylsulfatase a
1353340,train,2,410,ARSA,GeneOrGeneProduct,,128,4,78,4,arsa
1353340,train,3,D007966,metachromatic leukodystrophy,DiseaseOrPhenotypicFeature,,159,28,78,28,metachromatic leukodystrophy
1353340,train,4,D007966,MLD,DiseaseOrPhenotypicFeature,,189,3,78,3,mld
1353340,train,5,rs74315458,arginine84,SequenceVariant,,210,10,78,10,arginine84
1353340,train,6,410,arylsulfatase,GeneOrGeneProduct,,264,13,78,13,arylsulfatase
1353340,train,7,D007966,MLD,DiseaseOrPhenotypicFeature,,363,3,78,3,mld
1353340,train,8,rs74315458,arginine84 to glutamine,SequenceVariant,,372,23,78,23,arginine84 to glutamine
1353340,train,9,410,ARSA,GeneOrGeneProduct,,442,4,78,4,arsa
1353340,train,10,410,ARSA,GeneOrGeneProduct,,484,4,78,4,arsa
1353340,train,11,9606,patients,OrganismTaxon,,562,8,78,8,patients
1353340,train,12,D007966,MLD,DiseaseOrPhenotypicFeature,,576,3,78,3,mld
1353340,train,13,410,ARSA,GeneOrGeneProduct,,655,4,78,4,arsa
1353340,train,14,D007966,MLD,DiseaseOrPhenotypicFeature,,712,3,78,3,mld
14722929,train,0,D003638,deafness,DiseaseOrPhenotypicFeature,,17,8,0,8,deafness
14722929,train,1,2706,GJB2,GeneOrGeneProduct,,37,4,0,4,gjb2
14722929,train,2,2706,GJB2,GeneOrGeneProduct,,80,4,0,4,gjb2
14722929,train,3,C567134,non-syndromic autosomal recessive deafness,DiseaseOrPhenotypicFeature,,117,42,95,42,non-syndromic autosomal recessive deafness
14722929,train,4,C567134,NSARD,DiseaseOrPhenotypicFeature,,161,5,95,5,nsard
14722929,train,5,2706,GJB2,GeneOrGeneProduct,,217,4,95,4,gjb2
14722929,train,6,2706,GJB2,GeneOrGeneProduct,,251,4,95,4,gjb2
14722929,train,7,D003638,non-syndromic deafness,DiseaseOrPhenotypicFeature,,389,22,95,22,non-syndromic deafness
14722929,train,8,2706,GJB2,GeneOrGeneProduct,,538,4,95,4,gjb2
14722929,train,9,2706,GJB2,GeneOrGeneProduct,,729,4,95,4,gjb2
14722929,train,10,g|SUB|T|3318-6|A,g.3318-6T>A,SequenceVariant,,749,11,95,11,g.3318-6t>a
14722929,train,11,g|SUB|C|3318-15|T,g.3318-15C>T,SequenceVariant,,762,12,95,12,g.3318-15c>t
14722929,train,12,g|SUB|C|3318-34|T,g.3318-34C>T,SequenceVariant,,776,12,95,12,g.3318-34c>t
14722929,train,13,g|SUB|T|3318-35|G,g.3318-35T>G,SequenceVariant,,790,12,95,12,g.3318-35t>g
14722929,train,14,g|DEL|3455_3460|,g.3455_3460del,SequenceVariant,,829,14,95,14,g.3455_3460del
14722929,train,15,p|INDEL|46_48|Glu,p.Asp46_Gln48delinsGlu,SequenceVariant,,845,22,95,22,p.asp46_gln48delinsglu
14722929,train,16,rs763572195,g.3512C>A,SequenceVariant,,906,9,95,9,g.3512c>a
14722929,train,17,rs763572195,p.Tyr65X,SequenceVariant,,917,8,95,8,p.tyr65x
14722929,train,18,g|SUB|C|3395|T,g.3395C>T,SequenceVariant,,950,9,95,9,g.3395c>t
14722929,train,19,p|Allele|T|26,p.Thr26,SequenceVariant,,961,7,95,7,p.thr26
14722929,train,20,g|SUB|C|3503|T,g.3503C>T,SequenceVariant,,971,9,95,9,g.3503c>t
14722929,train,21,p|Allele|N|62,p.Asn62,SequenceVariant,,982,7,95,7,p.asn62
14722929,train,22,g|SUB|A|3627|C,g.3627A>C,SequenceVariant,,992,9,95,9,g.3627a>c
14722929,train,23,p|Allele|R|104,p.Arg104,SequenceVariant,,1003,8,95,8,p.arg104
14722929,train,24,rs111033360,g.3816C>A,SequenceVariant,,1047,9,95,9,g.3816c>a
14722929,train,25,rs111033360,p.Val167Met,SequenceVariant,,1058,11,95,11,p.val167met
14722929,train,26,g|DEL|3352|G,g.3352delG,SequenceVariant,,1120,10,95,10,g.3352delg
14722929,train,27,c|DEL|30|G,30delG,SequenceVariant,,1152,6,95,6,30delg
14722929,train,28,c|DEL|35|G,35 delG,SequenceVariant,,1162,7,95,7,35 delg
14722929,train,29,rs72474224,g.3426G>A,SequenceVariant,,1172,9,95,9,g.3426g>a
14722929,train,30,rs72474224,p.Val37Ile,SequenceVariant,,1183,10,95,10,p.val37ile
14722929,train,31,rs111033196,g.3697G>A,SequenceVariant,,1196,9,95,9,g.3697g>a
14722929,train,32,rs111033196,p.Arg127His,SequenceVariant,,1207,11,95,11,p.arg127his
14722929,train,33,rs111033186,g.3774G>A,SequenceVariant,,1221,9,95,9,g.3774g>a
14722929,train,34,rs111033186,p.Val153Ile,SequenceVariant,,1232,11,95,11,p.val153ile
14722929,train,35,rs34988750,g.3795G>A,SequenceVariant,,1250,9,95,9,g.3795g>a
14722929,train,36,rs34988750,p.Gly160Ser,SequenceVariant,,1261,11,95,11,p.gly160ser
14722929,train,37,g|SUB|C|3318-34|T,g.3318-34C>T,SequenceVariant,,1313,12,95,12,g.3318-34c>t
14722929,train,38,g|DEL|3352|G,g.3352delG,SequenceVariant,,1330,10,95,10,g.3352delg
14722929,train,39,C567134,NSARD,DiseaseOrPhenotypicFeature,,1490,5,95,5,nsard
14722929,train,40,D003638,deafness,DiseaseOrPhenotypicFeature,,1558,8,95,8,deafness
14722929,train,41,2706,GJB2,GeneOrGeneProduct,,1611,4,95,4,gjb2
14722929,train,42,D003638,deafness,DiseaseOrPhenotypicFeature,,1718,8,95,8,deafness
15099351,train,0,255738,PCSK9,GeneOrGeneProduct,,17,5,0,5,pcsk9
15099351,train,1,D006938,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,,55,39,0,39,autosomal dominant hypercholesterolemia
15099351,train,2,255738,Proprotein convertase subtilisin/kexin type 9,GeneOrGeneProduct,,96,45,96,45,proprotein convertase subtilisin/kexin type 9
15099351,train,3,255738,PCSK9,GeneOrGeneProduct,,143,5,96,5,pcsk9
15099351,train,4,D006938,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,,168,39,96,39,autosomal dominant hypercholesterolemia
15099351,train,5,255738,PCSK9,GeneOrGeneProduct,,243,5,96,5,pcsk9
15099351,train,6,D002784,cholesterol,ChemicalEntity,,269,11,96,11,cholesterol
15099351,train,7,D006937,hypercholesterolemia,DiseaseOrPhenotypicFeature,,367,20,96,20,hypercholesterolemia
15099351,train,8,255738,PCSK9,GeneOrGeneProduct,,442,5,96,5,pcsk9
15099351,train,9,D006937,familial hypercholesterolemia,DiseaseOrPhenotypicFeature,,526,29,96,29,familial hypercholesterolemia
15099351,train,10,3949,low-density lipoprotein receptor,GeneOrGeneProduct,,579,32,96,32,low-density lipoprotein receptor
15099351,train,11,rs5742904,R3500Q,SequenceVariant,,630,6,96,6,r3500q
15099351,train,12,338,apolipoprotein B-100,GeneOrGeneProduct,,644,20,96,20,apolipoprotein b-100
15099351,train,13,255738,PCSK9,GeneOrGeneProduct,,766,5,96,5,pcsk9
15099351,train,14,9606,patients,OrganismTaxon,,782,8,96,8,patients
15099351,train,15,rs137852912,D374Y,SequenceVariant,,814,5,96,5,d374y
15099351,train,16,9606,patient,OrganismTaxon,,829,7,96,7,patient
15099351,train,17,rs137852912,D374Y,SequenceVariant,,867,5,96,5,d374y
15099351,train,18,rs143117125,N157K,SequenceVariant,,877,5,96,5,n157k
15099351,train,19,rs137852912,D374Y,SequenceVariant,,884,5,96,5,d374y
15099351,train,20,D006937,hypercholesterolemia,DiseaseOrPhenotypicFeature,,906,20,96,20,hypercholesterolemia
15099351,train,21,255738,PCSK9,GeneOrGeneProduct,,1055,5,96,5,pcsk9
15099351,train,22,D006938,autosomal dominant hypercholesterolemia,DiseaseOrPhenotypicFeature,,1072,39,96,39,autosomal dominant hypercholesterolemia
15122708,train,0,C563319,Desmin-related myopathy,DiseaseOrPhenotypicFeature,,0,23,0,23,desmin-related myopathy
15122708,train,1,57190,selenoprotein N,GeneOrGeneProduct,,88,15,0,15,selenoprotein n
15122708,train,2,C563319,Desmin-related myopathies,DiseaseOrPhenotypicFeature,,110,25,110,25,desmin-related myopathies
15122708,train,3,C563319,DRMs,DiseaseOrPhenotypicFeature,,137,4,110,4,drms
15122708,train,4,D009135,muscle disorders,DiseaseOrPhenotypicFeature,,172,16,110,16,muscle disorders
15122708,train,5,1674,desmin,GeneOrGeneProduct,,249,6,110,6,desmin
15122708,train,6,1674,desmin,GeneOrGeneProduct,,274,6,110,6,desmin
15122708,train,7,1410,alpha-B crystallin,GeneOrGeneProduct,,289,18,110,18,alpha-b crystallin
15122708,train,8,C563319,DRM,DiseaseOrPhenotypicFeature,,357,3,110,3,drm
15122708,train,9,C563319,DRMs,DiseaseOrPhenotypicFeature,,501,4,110,4,drms
15122708,train,10,9606,patients,OrganismTaxon,,547,8,110,8,patients
15122708,train,11,57190,selenoprotein N,GeneOrGeneProduct,,585,15,110,15,selenoprotein n
15122708,train,12,57190,SEPN1,GeneOrGeneProduct,,607,5,110,5,sepn1
15122708,train,13,D009135,SEPN-related myopathy,DiseaseOrPhenotypicFeature,,633,21,110,21,sepn-related myopathy
15122708,train,14,D009135,SEPN-RM,DiseaseOrPhenotypicFeature,,656,7,110,7,sepn-rm
15122708,train,15,D009135,myopathy,DiseaseOrPhenotypicFeature,,687,8,110,8,myopathy
15122708,train,16,C535683,rigid spine muscular dystrophy,DiseaseOrPhenotypicFeature,,754,30,110,30,rigid spine muscular dystrophy
15122708,train,17,C564969,multiminicore disease,DiseaseOrPhenotypicFeature,,818,21,110,21,multiminicore disease
15122708,train,18,D009135,SEPN-RM,DiseaseOrPhenotypicFeature,,924,7,110,7,sepn-rm
15122708,train,19,C563319,DRM,DiseaseOrPhenotypicFeature,,976,3,110,3,drm
15122708,train,20,57190,SEPN1,GeneOrGeneProduct,,984,5,110,5,sepn1
15122708,train,21,C563319,DRM,DiseaseOrPhenotypicFeature,,1010,3,110,3,drm
15122708,train,22,57190,SEPN1,GeneOrGeneProduct,,1077,5,110,5,sepn1
